file_id,ground_truth,raw_asr_output,corrected_output,highlighted_corrected_output,num_corrections,wer_raw,wer_corrected
LJ001-0001,Printing	 in the only sense with which we are at present concerned	 differs from most if not from all the arts and crafts represented in the Exhibition,"Printing, in the only sense with which we are at present concerned, differs from most if not from all the arts and crafts represented in the exhibition.","Printing, in the only sense with which we are at present concerned, differs from most if not from all the arts and crafts represented in the exhibition.","Printing, in the only sense with which we are at present concerned, differs from most if not from all the arts and crafts represented in the exhibition.",0,0.1111111111111111,0.1111111111111111
LJ001-0002,in being comparatively modern.,in being comparatively modern.,In being comparatively modern.,[*In*] being comparatively modern.,1,0.0,0.25
LJ001-0003,For although the Chinese took impressions from wood blocks engraved in relief for centuries before the woodcutters of the Netherlands	 by a similar process,"For although the Chinese took impressions from wood blocks and graved in relief for centuries before the wood cutters of the Netherlands by a similar process,","For although the Chinese took impressions from wood blocks and graved in relief for centuries before the wood cutters of the Netherlands by a similar process,","For although the Chinese took impressions from wood blocks and graved in relief for centuries before the wood cutters of the Netherlands by a similar process,",0,0.20833333333333334,0.20833333333333334
LJ001-0004,produced the block books	 which were the immediate predecessors of the true printed book,"produced the block books, which were the immediate predecessors of the true printed book.","Produced the block books, which were the immediate predecessors of the true printed book.","[*Produced*] the block books, which were the immediate predecessors of the true printed book.",1,0.14285714285714285,0.21428571428571427
LJ001-0005,the invention of movable metal letters in the middle of the fifteenth century may justly be considered as the invention of the art of printing.,The invention of movable metal letters in the middle of the 15th century may justly be considered as the invention of the art of printing.,The invention of movable metal letters in the middle of the 15th century may justly be considered as the invention of the art of printing.,The invention of movable metal letters in the middle of the 15th century may justly be considered as the invention of the art of printing.,0,0.08,0.08
LJ001-0006,And it is worth mention in passing that	 as an example of fine typography,And it is worth mentioning in passing that has an example of fine typography.,And it is worth mentioning in passing that has an example of fine typography.,And it is worth mentioning in passing that has an example of fine typography.,0,0.21428571428571427,0.21428571428571427
LJ001-0007,"the earliest book printed with movable types	 the Gutenberg	"" or """"forty-two line Bible"""" of about 1455""","The earliest book printed with movable types, the Guttenberg or 42 line Bible of about 1455.","The earliest book printed with movable types, the Guttenberg or 42 line Bible of about 1455.","The earliest book printed with movable types, the Guttenberg or 42 line Bible of about 1455.",0,0.375,0.375
LJ001-0008,has never been surpassed.,has never been surpassed.,Has never been surpassed.,[*Has*] never been surpassed.,1,0.0,0.25
LJ001-0009,Printing	 then	 for our purpose	 may be considered as the art of making books by means of movable types.,Printing then for our purpose may be considered as the art of making books by means of movable types.,Printing then for our purpose may be considered as the art of making books by means of movable types.,Printing then for our purpose may be considered as the art of making books by means of movable types.,0,0.0,0.0
LJ001-0010,Now	 as all books not primarily intended as picture-books consist principally of types composed to form letterpress,"Now, as all books, not primarily intended as picture books, consist principally of types composed to form letterpress.","Now, as all books, not primarily intended as picture books, consist principally of types composed to form letterpress.","Now, as all books, not primarily intended as picture books, consist principally of types composed to form letterpress.",0,0.29411764705882354,0.29411764705882354
LJ001-0011,it is of the first importance that the letter used should be fine in form;,It is of the first importance that the letter used should be fine and form.,It is of the first importance that the letter used should be fine and form.,It is of the first importance that the letter used should be fine and form.,0,0.2,0.2
LJ001-0012,especially as no more time is occupied	 or cost incurred	 in casting	 setting	 or printing beautiful letters,"especially as no more time is occupied or cost incurred in casting, setting or printing beautiful letters.","Especially as no more time is occupied or cost incurred in casting, setting or printing beautiful letters.","[*Especially*] as no more time is occupied or cost incurred in casting, setting or printing beautiful letters.",1,0.11764705882352941,0.17647058823529413
LJ001-0013,than in the same operations with ugly ones.,then in the same operations with ugly ones.,Then in the same operations with ugly ones.,[*Then*] in the same operations with ugly ones.,1,0.125,0.125
LJ001-0014,And it was a matter of course that in the Middle Ages	 when the craftsmen took care that beautiful form should always be a part of their productions whatever they were,"And it was a matter of course that in the middle ages, when the craftsmen took care that beautiful forms should always be a part of their productions, whatever they were.","And it was a matter of course that in the Middle Ages, when the craftsmen took care that beautiful forms should always be a part of their productions, whatever they were.","And it was a matter of course that in the [*Middle*] [*Ages,*] when the craftsmen took care that beautiful forms should always be a part of their productions, whatever they were.",2,0.16129032258064516,0.12903225806451613
